altitude	exposition	pente	distance_horizontale_hydro	distance_verticale_hydro	distance_horizontale_route	ombrage_0900	ombrage_1200	ombrage_1500	distance_horizontale_depart_feu
2654	42	15	60	7	1862	221	206	116	6907
2649	24	13	30	2	1832	213	211	133	6889
2647	357	16	0	0	1802	194	210	152	6870
2650	5	19	0	0	1772	192	199	141	6852
2645	25	24	30	7	1742	201	182	108	6834
2638	21	25	60	14	1712	195	178	109	6816
2634	9	25	90	24	1682	183	181	126	6798
2633	8	26	90	40	1652	181	179	126	6780
2630	11	26	90	37	1622	182	177	122	6763
2628	17	27	85	45	1593	188	174	112	6745
2622	27	28	67	39	1563	196	167	94	6727
2614	22	27	60	31	1533	193	172	104	6710
2610	17	26	60	27	1503	190	177	114	6692
2605	14	25	60	22	1473	188	180	120	6675
2603	15	25	60	21	1443	189	180	119	6658
2598	14	25	60	21	1413	189	181	120	6641
2596	345	25	60	20	1383	164	193	162	6624
2605	328	27	67	35	1353	146	198	186	6607
2613	336	26	85	44	1323	154	196	175	6590
2617	352	26	95	60	1293	165	185	152	6573
2617	4	28	95	51	1263	173	175	130	6557
2615	14	28	90	49	1233	181	170	113	6540
2609	19	29	90	43	1203	184	164	103	6524
2603	15	31	90	37	1173	176	160	106	6507
2599	10	32	95	33	1144	169	160	113	6491
2596	2	31	108	36	1114	162	166	129	6475
2598	355	30	120	43	1084	158	173	142	6459
2599	357	27	120	48	1054	167	180	142	6443
2585	44	22	60	22	964	219	188	93	6395
2576	37	16	30	6	934	218	203	117	6380
2575	309	15	0	0	904	179	230	191	6364
2590	288	25	30	20	875	142	228	222	6349
2602	296	21	60	39	845	158	229	209	6334
2608	306	14	90	50	815	179	231	192	6319
2614	305	10	120	53	785	193	235	182	6303
2619	306	4	150	58	755	208	237	168	6289
2620	342	2	180	59	726	216	236	158	6274
2599	117	4	127	2	459	227	236	143	6145
2598	87	5	108	1	430	227	232	140	6132
2594	61	2	95	-2	400	221	234	149	6118
2595	56	3	90	-1	371	222	232	146	6104
2590	98	7	90	-6	342	231	231	132	6091
2586	169	5	95	-10	313	224	242	153	6078
2589	214	5	108	-7	285	215	245	166	6065
2589	108	2	127	-5	256	221	237	151	6052
2589	60	4	150	-5	228	223	231	144	6039
2587	98	3	175	-7	201	225	234	145	6026
2583	139	4	201	-11	175	227	238	146	6013
2582	135	3	228	-12	150	224	238	150	6001
2540	121	10	67	11	324	237	232	126	5808
2537	137	8	60	8	342	233	237	136	5798
2501	149	1	0	0	577	221	238	154	5704
2500	180	1	0	0	604	219	239	157	5695
2500	175	3	0	0	631	221	240	156	5687
2501	144	6	0	0	658	229	239	143	5678
2926	112	12	300	-15	5641	240	227	115	3660
2922	139	13	301	-19	5611	239	236	124	3690
2916	150	13	306	-25	5581	236	239	130	3720
2913	166	10	313	-28	5551	229	244	147	3750
2913	175	8	323	-28	5521	225	244	153	3780
2913	160	7	335	-28	5491	228	242	147	3810
2913	141	9	350	-28	5461	234	238	135	3840
2909	161	10	366	-32	5431	230	243	143	3870
2909	183	13	384	-32	5401	223	248	156	3900
2909	183	16	400	-32	5371	223	249	154	3930
2909	180	16	408	-32	5341	224	248	151	3960
2909	186	18	418	-32	5311	220	250	157	3990
2913	171	19	424	-25	5281	229	245	139	4020
2906	156	20	430	52	5251	238	238	119	4050
2857	170	13	201	53	4322	229	245	145	4980
2854	170	12	190	50	4292	229	245	147	5010
2854	168	10	175	50	4262	228	244	147	5040
2854	153	11	162	59	4232	233	241	138	5070
2850	139	13	150	55	4202	240	235	123	5100
2844	135	16	134	49	4172	244	231	112	5130
2837	129	18	124	42	4142	247	226	101	5160
2831	125	19	120	40	4112	248	224	97	5190
2824	122	21	108	33	4082	250	219	87	5220
2811	129	21	95	20	4052	249	222	91	5250
2801	150	20	85	13	4022	242	234	112	5280
2795	159	23	67	7	3992	237	237	118	5310
2791	148	23	60	3	3962	243	231	104	5340
2781	139	18	42	0	3932	244	232	110	5370
2778	153	8	30	-2	3902	231	241	142	5400
2778	193	4	30	0	3872	219	243	160	5430
2778	236	5	0	0	3842	211	245	172	5460
2781	45	1	0	0	3812	219	235	153	5490
2781	349	10	30	-9	3782	202	224	160	5520
2788	326	18	42	13	3752	174	218	183	5550
2791	336	17	67	23	3722	180	214	173	5580
2795	331	18	85	23	3692	176	215	178	5610
2801	315	19	108	36	3662	167	221	193	5640
2811	315	16	127	43	3632	175	225	189	5670
2814	310	14	150	52	3602	180	230	189	5700
2821	313	10	175	63	3572	194	233	179	5730
2821	0	6	201	66	3542	212	229	155	5760
2821	47	9	228	66	3512	223	221	132	5790
2814	57	11	255	59	3482	228	216	120	5820
2811	65	11	270	59	3452	230	218	120	5850
2804	85	9	272	49	3422	233	225	124	5880
2801	135	4	277	52	3392	226	238	146	5910
2801	123	11	285	52	3362	239	232	122	5940
2791	121	18	277	115	3332	247	223	98	5970
2785	124	21	255	109	3302	250	219	86	6000
2772	132	23	234	99	3272	250	221	86	6030
2765	161	21	212	92	3242	236	240	124	6060
2765	161	24	192	98	3212	236	237	117	6090
2755	153	28	170	88	3182	241	228	97	6120
2749	159	30	150	82	3152	236	230	102	6150
2745	155	32	134	78	3122	237	224	91	6180
2736	142	34	124	69	3092	246	210	63	6210
2719	145	33	120	52	3062	244	214	70	6240
2713	169	35	120	46	3032	222	229	108	6270
2713	177	43	120	46	3002	201	221	109	6300
2716	181	51	120	49	2972	177	207	105	6330
2726	185	57	120	59	2942	153	193	102	6360
2736	182	61	120	66	2912	150	181	85	6390
2736	178	61	120	63	2882	154	175	73	6420
2736	174	61	120	69	2853	163	171	59	6450
2722	172	60	124	55	2823	169	175	59	6480
2716	174	57	124	59	2793	174	184	70	6510
2709	164	53	120	46	2763	199	186	53	6540
2690	145	46	95	59	2733	232	184	27	6570
2663	123	38	67	32	2703	251	181	0	6600
2640	107	29	42	9	2673	254	193	0	6630
2627	82	8	30	0	2643	232	225	126	6660
2631	286	20	0	0	2613	162	235	212	6690
2650	281	33	30	23	2583	113	222	238	6720
2670	282	36	60	46	2553	102	216	241	6750
2690	283	35	85	50	2523	106	218	239	6780
2709	289	25	108	75	2493	141	227	222	6810
2719	328	15	134	98	2463	184	222	177	6840
2687	18	15	153	15	2044	207	207	134	6995
2684	26	14	150	21	2014	213	209	130	6976
2680	32	14	127	17	1984	216	210	126	6958
2677	39	13	108	21	1954	220	210	122	6939
2672	53	14	85	16	1924	227	209	112	6920
2665	70	16	67	8	1894	235	208	100	6902
2655	66	11	42	-1	1864	231	218	118	6883
2654	11	8	30	7	1834	212	224	150	6865
2654	339	12	0	0	1804	193	222	168	6846
2659	354	15	30	12	1774	194	213	156	6828
2656	20	20	42	6	1744	202	194	123	6810
2651	14	24	67	13	1714	191	184	122	6792
2649	6	26	95	25	1684	179	180	130	6774
2648	7	27	120	38	1654	178	177	127	6756
2645	11	27	120	62	1624	182	176	120	6738
2642	20	26	108	59	1595	191	174	109	6721
2635	28	27	95	52	1565	199	171	95	6703
2627	25	26	90	44	1535	196	174	102	6685
2623	17	25	90	40	1505	191	179	115	6668
2619	14	25	90	36	1475	188	180	120	6651
2616	15	25	90	33	1445	188	178	117	6633
2611	13	25	90	29	1415	186	179	121	6616
2610	348	25	90	33	1385	164	190	158	6599
2617	331	26	95	41	1355	151	198	182	6582
2624	332	24	108	54	1325	157	202	180	6565
2631	343	23	124	62	1296	167	198	166	6548
2632	3	24	124	66	1266	180	187	138	6532
2629	16	26	120	63	1236	189	178	116	6515
2624	16	27	120	58	1206	187	174	113	6498
2621	9	29	120	55	1176	174	169	120	6482
2619	9	31	124	53	1146	169	162	116	6466
2602	46	24	90	39	997	219	180	83	6385
2593	57	22	60	23	967	229	188	81	6370
2583	64	16	30	8	938	233	206	100	6354
2578	278	7	0	0	908	202	241	179	6339
2590	262	24	30	15	878	154	243	224	6323
2606	262	20	60	36	849	166	245	216	6308
2613	264	11	90	50	819	192	245	192	6293
2617	250	6	120	59	789	208	244	174	6278
2615	193	4	150	54	760	219	243	160	6263
2598	90	1	127	0	495	220	237	153	6132
2597	23	2	108	0	466	218	235	154	6119
2597	45	5	85	0	437	221	229	143	6105
2593	22	4	67	-3	408	217	230	150	6091
2597	29	5	60	0	379	218	229	147	6078
2591	60	10	60	-5	351	228	218	122	6064
2586	31	6	67	-10	323	219	228	145	6051
2588	310	4	85	-6	295	209	237	166	6038
2592	135	1	108	-2	268	220	238	155	6025
2590	123	5	134	-4	242	228	236	142	6012
2587	119	6	162	-7	216	231	235	137	5999
2584	130	4	190	-10	192	226	237	145	5986
2534	142	11	42	5	350	237	237	129	5780
2532	140	11	30	3	366	236	237	130	5770
2526	119	12	30	-2	384	241	229	116	5759
2520	112	11	30	6	404	239	228	118	5750
2514	128	6	0	0	424	230	236	140	5740
2506	21	7	0	0	516	216	226	147	5702
2505	23	7	0	0	541	216	225	145	5693
2504	23	6	30	2	566	216	227	147	5684
2502	7	6	30	1	592	213	229	153	5675
2503	358	6	30	2	618	211	229	156	5667
2936	63	17	331	-5	5672	233	204	98	3630
2926	73	17	330	-15	5642	237	205	93	3660
2916	87	13	331	-25	5612	239	218	108	3690
2913	110	7	335	-28	5582	233	232	132	3720
2913	155	4	342	-28	5552	224	240	150	3750
2913	171	5	351	-28	5522	223	242	154	3780
2913	153	7	362	-28	5492	229	241	144	3810
2909	140	11	376	-32	5462	237	237	129	3840
2903	151	11	390	-38	5432	234	240	135	3870
2903	166	12	390	-35	5402	230	244	143	3900
2900	180	14	391	-38	5372	225	248	153	3930
2903	177	14	395	-35	5342	226	247	150	3960
2900	174	17	400	-38	5312	228	246	144	3990
2900	170	20	408	-35	5282	230	244	137	4020
2896	161	19	400	36	5252	236	240	127	4050
2893	164	17	390	39	5222	233	243	134	4080
2890	171	17	379	36	5192	230	245	141	4110
2844	209	16	212	40	4383	207	253	178	4920
2850	200	17	192	46	4353	211	253	171	4950
2850	181	14	175	46	4323	224	248	153	4980
2850	181	11	162	46	4293	224	247	155	5010
2850	167	11	150	46	4263	229	244	146	5040
2847	154	14	134	43	4233	236	240	131	5070
2844	146	18	124	49	4203	242	235	116	5100
2837	142	19	108	42	4173	244	231	107	5130
2831	138	22	95	36	4143	247	227	96	5160
2821	139	25	90	26	4113	248	223	88	5190
2811	139	26	85	20	4083	248	221	84	5220
2801	138	23	67	10	4053	248	225	93	5250
2795	139	17	60	4	4023	243	232	112	5280
2788	140	11	42	0	3993	237	237	129	5310
2785	117	8	30	-2	3963	235	232	129	5340
2781	81	6	30	0	3933	228	230	136	5370
2781	351	6	0	0	3903	210	230	159	5400
2781	341	10	0	0	3873	199	225	165	5430
2785	334	13	0	0	3843	190	222	171	5460
2788	347	13	30	10	3813	194	218	162	5490
2788	335	13	42	7	3783	189	221	171	5520
2795	316	15	67	4	3753	179	226	187	5550
2801	324	15	85	26	3723	181	223	181	5580
2804	330	16	108	36	3693	181	220	177	5610
2808	319	15	127	36	3663	179	225	185	5640
2814	310	12	150	49	3633	186	231	185	5670
2818	304	10	170	50	3603	192	235	183	5700
2824	306	6	192	62	3573	202	236	174	5730
2824	18	2	216	66	3543	217	234	154	5760
2824	84	7	242	69	3513	230	228	131	5790
2818	94	10	268	63	3483	236	225	119	5820
2814	100	12	295	59	3453	240	223	111	5850
2804	107	12	301	52	3423	240	225	113	5880
2801	135	7	297	115	3393	231	237	138	5910
2798	119	13	277	112	3363	242	228	112	5940
2788	116	20	255	102	3333	250	217	85	5970
2778	120	23	234	102	3303	252	214	77	6000
2765	123	24	212	89	3273	252	214	76	6030
2755	145	19	192	82	3243	243	233	110	6060
2752	151	22	170	79	3214	241	234	110	6090
2745	145	26	150	78	3184	245	225	91	6120
2736	148	28	127	69	3154	243	225	90	6150
2726	152	30	108	59	3124	240	224	89	6180
2719	145	34	95	52	3094	244	212	67	6210
2706	143	36	90	39	3064	244	206	57	6240
2693	155	37	90	26	3034	234	215	77	6270
2683	162	41	90	16	3004	222	212	79	6300
2667	167	46	90	0	2974	208	205	77	6330
2654	173	52	90	-15	2944	188	198	81	6360
2644	178	55	90	-28	2914	172	193	86	6390
2644	175	57	90	-22	2884	171	185	74	6420
2637	174	58	90	-29	2854	170	180	67	6450
2637	179	56	95	-25	2824	167	191	88	6480
2640	181	52	95	-16	2794	176	204	101	6510
2640	177	46	90	-16	2764	194	213	102	6540
2644	169	36	85	-18	2734	221	226	104	6570
2644	137	23	60	13	2704	248	224	91	6600
2634	82	15	30	3	2674	240	212	98	6630
2631	6	13	0	0	2644	204	215	147	6660
2634	308	23	0	0	2614	151	219	205	6690
2650	290	34	30	19	2584	107	213	235	6720
2673	287	37	60	46	2554	96	210	240	6750
2696	288	34	90	72	2524	107	215	236	6780
2713	291	25	120	73	2495	143	227	220	6810
2722	306	12	150	88	2465	185	233	188	6840
2693	47	9	124	11	2046	224	220	130	6972
2691	49	9	120	19	2016	224	221	131	6953
2686	66	10	108	23	1986	230	219	121	6934
2681	86	11	85	18	1956	236	221	115	6915
2675	99	14	67	19	1926	242	221	106	6897
2666	97	15	42	10	1896	244	216	98	6878
2657	74	7	30	0	1866	229	227	132	6860
2657	334	8	0	0	1836	202	229	167	6841
2660	328	12	0	0	1806	190	226	175	6823
2665	341	12	30	11	1776	194	222	166	6804
2665	5	15	60	18	1746	200	210	145	6786
2664	3	20	85	14	1717	188	197	143	6768
2664	4	23	108	26	1687	183	189	136	6750
2662	7	24	134	38	1657	184	186	132	6732
2661	13	25	150	78	1627	188	181	122	6714
2655	23	26	134	72	1597	195	175	106	6696
2649	28	27	124	66	1567	199	171	96	6679
2630	12	28	120	47	1448	180	172	117	6609
2626	9	29	120	43	1418	174	169	120	6592
2624	352	29	120	42	1388	157	177	148	6574
2631	342	27	124	54	1358	153	188	167	6557
2635	339	23	134	59	1328	165	201	171	6540
2641	337	20	150	71	1299	171	208	173	6523
2645	358	20	153	79	1269	186	201	149	6507
2624	47	24	90	3	1031	220	180	82	6376
2611	62	25	85	15	1001	232	179	64	6360
2598	74	24	60	23	972	240	187	65	6344
2584	78	18	30	6	942	240	204	87	6329
2576	315	1	0	0	912	216	237	159	6313
2584	253	20	30	6	883	171	249	213	6297
2599	240	23	60	24	853	171	252	213	6282
2601	10	7	108	3	503	213	227	151	6106
2600	346	7	85	2	474	207	229	161	6092
2603	12	9	67	6	446	211	221	147	6078
2598	32	9	42	1	418	218	221	139	6064
2599	45	5	30	2	390	221	229	144	6051
2596	65	8	30	0	362	228	224	130	6037
2592	48	6	42	-2	335	223	227	140	6024
2591	45	1	67	-3	309	219	235	153	6011
2589	130	4	95	-5	283	226	237	146	5998
2585	124	5	124	-9	258	229	236	140	5985
2584	119	6	153	-10	234	230	235	138	5972
2580	135	6	182	-14	212	229	237	142	5959
2529	66	6	0	0	391	226	228	137	5741
2524	65	10	0	0	408	230	221	123	5731
2521	59	11	0	0	426	228	218	121	5721
2515	37	7	0	0	446	220	224	139	5711
2518	29	6	0	0	467	218	226	144	5702
2512	47	9	0	0	488	223	221	132	5692
2511	15	7	0	0	511	214	225	148	5683
2512	7	8	30	6	534	210	224	151	5673
2509	25	9	30	3	558	216	221	141	5664
2507	37	7	42	2	582	220	224	139	5655
2506	28	4	60	4	607	218	232	150	5646
2942	84	14	360	0	5673	239	216	105	3631
2932	81	19	360	-9	5643	242	204	85	3661
2922	82	16	360	-19	5613	240	211	96	3691
2913	95	10	360	-25	5583	236	225	120	3721
2909	143	7	360	-29	5553	231	239	141	3751
2909	163	10	360	-29	5523	230	243	145	3781
2906	155	13	360	-32	5493	235	241	135	3811
2903	151	12	360	-35	5463	236	240	132	3841
2900	148	10	360	-38	5433	234	239	136	3871
2896	150	9	360	-42	5403	233	240	138	3901
2893	175	9	361	-45	5373	225	245	153	3931
2896	165	11	365	-42	5343	230	244	143	3961
2890	164	12	371	-45	5313	231	243	141	3991
2890	165	11	379	-45	5283	230	244	144	4021
2886	156	10	362	26	5223	232	241	140	4081
2883	154	11	351	29	5193	234	241	137	4111
2880	180	12	342	26	5163	224	247	154	4141
2883	184	15	335	29	5133	222	249	156	4171
2883	187	17	323	33	5103	220	250	157	4201
2886	202	19	309	36	5073	208	253	174	4231
2847	92	18	228	39	4444	245	210	88	4861
2837	113	12	212	29	4414	240	228	117	4891
2834	196	11	192	30	4384	217	249	165	4921
2840	196	15	170	36	4354	215	251	166	4951
2840	189	16	150	36	4324	219	250	160	4981
2844	190	14	134	40	4294	219	250	161	5011
2844	164	15	124	40	4264	232	244	138	5041
2840	152	18	108	36	4234	239	238	121	5071
2834	146	22	95	30	4204	244	231	105	5101
2827	148	24	85	32	4174	243	230	102	5131
2821	143	26	67	26	4144	246	224	89	5161
2808	139	25	60	13	4114	248	223	88	5191
2801	137	21	60	6	4084	247	226	97	5221
2791	135	15	42	0	4054	243	232	115	5251
2788	129	7	30	-2	4024	231	236	137	5281
2785	11	4	30	-2	3994	216	232	153	5311
2788	21	10	0	0	3964	214	219	141	5341
2781	22	11	0	0	3934	213	217	139	5371
2785	338	11	0	0	3904	195	224	168	5401
2788	336	13	30	7	3874	190	222	170	5431
2791	333	14	30	10	3844	187	221	173	5461
2795	347	12	42	10	3814	197	221	161	5491
2795	339	11	67	17	3784	197	225	166	5521
2798	311	14	85	17	3754	182	230	187	5551
2804	311	14	108	13	3724	181	229	188	5581
2811	320	12	127	36	3694	188	228	180	5611
2814	320	11	150	46	3664	191	229	178	5641
2818	315	9	170	46	3634	196	233	176	5671
2821	297	7	192	56	3604	201	238	176	5701
2824	281	4	212	56	3575	209	240	169	5731
2824	108	2	234	62	3545	223	236	149	5761
2821	106	9	258	63	3515	235	229	125	5791
2814	112	13	283	59	3485	242	225	109	5821
2808	119	16	309	53	3455	245	225	104	5851
2801	126	15	300	115	3425	244	229	110	5881
2795	147	11	277	109	3395	235	239	134	5911
2795	127	17	255	109	3365	245	227	105	5941
2781	119	23	234	95	3335	252	213	76	5971
2772	119	23	212	86	3305	252	213	76	6001
2758	116	22	192	82	3275	252	212	76	6031
2749	126	18	170	73	3245	247	225	98	6061
2732	139	27	127	59	3185	248	220	82	6121
2722	142	28	108	55	3155	247	221	83	6151
2713	143	30	85	46	3125	246	218	78	6181
2703	141	35	67	36	3095	246	208	59	6211
2686	141	37	60	19	3065	245	203	52	6241
2673	148	32	60	6	3035	243	218	78	6271
2663	145	25	60	-3	3005	245	227	94	6301
2657	129	18	60	-12	2975	247	226	101	6331
2650	101	12	60	-22	2946	240	224	112	6361
2647	77	6	60	-19	2916	228	228	134	6391
2647	86	12	60	-19	2886	237	221	113	6421
2631	97	11	60	-31	2856	238	224	116	6451
2634	225	6	67	-19	2826	212	246	171	6481
2640	249	9	67	-16	2796	201	247	184	6511
2644	286	7	60	-12	2766	201	240	179	6541
2644	322	9	60	-12	2736	198	232	173	6571
2647	357	14	42	-15	2706	197	213	153	6601
2644	9	23	30	13	2676	188	188	130	6631
2644	355	27	0	0	2646	167	182	146	6661
2647	328	31	30	16	2616	129	186	187	6691
2663	310	37	42	29	2586	97	188	217	6721
2683	300	38	67	52	2556	93	196	229	6751
2703	296	33	95	76	2526	110	208	229	6781
2719	300	24	124	95	2496	147	222	212	6811
2726	320	12	153	86	2467	189	228	180	6841
2693	84	9	95	11	2048	233	225	123	6949
2690	104	9	90	8	2018	235	229	126	6930
2686	112	13	85	14	1988	242	226	111	6911
2677	117	16	67	14	1958	245	224	103	6892
2669	118	15	42	6	1928	244	226	107	6873
2662	102	12	30	6	1899	239	225	114	6855
2656	3	5	0	0	1869	214	231	155	6836
2663	321	12	0	0	1839	188	228	179	6817
2666	328	13	30	9	1809	188	224	175	6799
2670	337	12	42	10	1779	195	224	168	6781
2671	349	11	67	17	1749	199	221	160	6762
2674	347	13	95	27	1719	194	218	162	6744
2676	2	15	124	26	1690	198	211	149	6726
2638	96	9	67	17	1065	235	227	123	6367
2630	95	20	60	9	1036	247	207	80	6351
2616	91	25	60	-4	1006	249	193	59	6335
2599	81	23	42	3	977	244	194	68	6319
2587	59	18	30	11	947	230	199	95	6303
2581	18	12	0	0	918	211	215	140	6287
2583	291	11	30	7	888	190	238	188	6272
2591	250	16	60	13	859	183	250	204	6256
2606	63	7	108	5	541	226	226	134	6094
2604	45	4	85	3	513	221	231	147	6079
2603	301	3	67	5	485	211	238	165	6065
2608	59	1	42	10	457	220	235	152	6052
2603	93	8	30	6	430	233	228	127	6038
2597	111	6	0	0	402	230	234	137	6024
2595	113	5	0	0	376	230	234	138	6011
2592	105	5	30	-2	350	229	233	138	5997
2589	119	5	60	-5	324	228	235	141	5984
2588	130	4	90	-6	300	226	237	145	5971
2587	108	4	120	-7	277	226	235	144	5958
2584	93	5	150	-10	255	228	232	138	5945
2535	25	11	0	0	417	215	216	137	5713
2530	43	12	30	1	433	222	213	123	5703
2526	43	12	30	2	450	222	213	124	5693
2521	33	10	30	0	469	218	218	135	5683
2519	22	8	30	4	488	215	222	144	5673
2517	35	10	30	0	509	219	218	134	5664
2514	23	7	30	2	531	216	225	145	5654
2514	0	6	42	3	553	212	229	155	5645
2515	40	7	60	9	576	221	224	138	5636
2510	72	9	67	4	600	231	223	125	5627
2942	124	12	330	3	5704	240	231	118	3602
2939	122	14	330	0	5674	243	228	110	3632
2929	109	18	330	-9	5644	248	217	91	3662
2919	101	15	330	-19	5614	244	218	99	3692
2913	94	12	330	-25	5584	238	222	113	3722
2906	100	8	330	-32	5554	234	229	127	3752
2903	126	6	330	-35	5524	231	236	138	3782
2900	123	7	330	-38	5494	231	235	137	3812
2896	118	5	330	-42	5464	228	236	142	3842
2896	86	3	330	-42	5434	224	234	145	3872
2893	41	5	330	-45	5404	220	229	145	3902
2893	29	5	331	-45	5374	218	229	147	3932
2890	67	6	335	-45	5344	227	228	135	3962
2886	27	3	342	-49	5314	218	232	151	3992
2890	2	6	351	-38	5284	212	229	154	4022
2886	32	9	342	26	5254	218	220	137	4052
2883	49	9	335	23	5224	224	221	131	4082
2880	77	8	323	20	5194	230	226	129	4112
2877	122	4	313	23	5164	228	236	143	4142
2877	156	9	306	23	5134	230	241	143	4172
2873	180	12	295	19	5104	224	247	154	4202
2877	206	16	283	27	5074	208	253	175	4232
2883	206	17	268	33	5044	207	253	176	4262
2860	176	12	182	23	4595	226	246	152	4712
2860	180	12	190	23	4565	224	247	154	4742
2860	175	10	201	26	4535	226	245	151	4772
2860	142	8	210	23	4505	232	238	139	4802
2857	111	13	210	43	4475	242	225	110	4831
2847	102	18	201	36	4445	247	214	89	4861
2837	104	15	190	29	4415	244	220	101	4891
2831	158	8	170	23	4385	229	242	145	4921
2834	180	14	150	30	4355	225	248	153	4951
2831	188	17	127	27	4325	219	250	158	4981
